MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;334094;Bex Digital 5 ;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;251708;Bex Digital 20;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;444422;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;261564;Bex Digital 5 ;1/6/2019;659;7,98%;6,98%;Prioridad 4;
SOLES;790041;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;739542;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;207300;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;570426;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;200828;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;897840;Bex Digital 15;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;683453;Bex Digital 4 ;1/2/2018;1144;7,45%;6,45%;Prioridad 4;
SOLES;223042;Bex Digital 1;1/7/2017;1359;8,34%;7,34%;Prioridad 4;
SOLES;447888;Bex Digital 17;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;314233;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;351686;Bex Digital 14;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;614951;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;270967;Bex Digital 14;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;295190;Bex Digital 14;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;647124;Bex Digital 14;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;256180;Bex Digital 21;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;303558;Bex Digital 20;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;347533;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;388060;Bex Digital 16;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;401972;Bex Digital 2 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;215914;Bex Digital 1;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;321990;Bex Digital 14;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;480005;Bex Digital 9 ;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;328374;Bex Digital 5 ;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;310500;Bex Digital 2 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;241533;Bex Digital 16;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;202111;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;488788;Bex Digital 7 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;231333;Bex Digital 9 ;1/8/2019;598;7,43%;6,43%;Prioridad 4;
SOLES;254830;Bex Digital 21;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;295060;Bex Digital 2 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;257913;Bex Digital 5 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;423383;Bex Digital 11;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;352215;Bex Digital 10;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;303114;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;244000;Bex Digital 11;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;258494;Bex Digital 16;1/5/2016;1785;9,46%;8,46%;Prioridad 4;
SOLES;383606;Bex Digital 11;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;869803;Bex Digital 10;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;353814;Bex Digital 1;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;255261;Bex Digital 6 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;789042;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;246033;Bex Digital 13;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;549077;Bex Digital 10;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;556345;Bex Digital 15;1/6/2017;1389;8,34%;7,34%;Prioridad 4;
SOLES;275833;Bex Digital 1;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;326436;Bex Digital 12;1/11/2018;871;7,18%;6,18%;Prioridad 1;
SOLES;471848;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;274029;Bex Digital 13;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;299034;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;580438;Bex Digital 19;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;824335;Bex Digital 10;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;216285;Bex Digital 1;1/4/2015;2181;8,62%;7,62%;Prioridad 4;
SOLES;381919;Bex Digital 12;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;539742;Bex Digital 19;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;227114;Bex Digital 16;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;985073;Bex Digital 13;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;342194;Bex Digital 3 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;354866;Bex Digital 13;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;324352;Bex Digital 21;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;282719;Bex Digital 16;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;279289;Bex Digital 1;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;642128;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;452876;Bex Digital 6 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;211033;Bex Digital 7 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;1059204;Bex Digital 16;1/8/2016;1693;9,41%;8,41%;Prioridad 4;
SOLES;255786;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;749753;Bex Digital 3 ;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;315274;Bex Digital 18;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;584427;Bex Digital 7 ;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
SOLES;290069;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;429159;Bex Digital 9 ;1/5/2019;690;8,11%;7,11%;Prioridad 4;
SOLES;347865;Bex Digital 9 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;246225;Bex Digital 18;1/7/2017;1359;8,34%;7,34%;Prioridad 4;
SOLES;800408;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;441238;Bex Digital 2 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;479645;Bex Digital 17;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;451359;Bex Digital 19;1/2/2018;1144;7,45%;6,45%;Prioridad 4;
SOLES;294437;Bex Digital 15;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;534665;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;278682;Bex Digital 16;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;648192;Bex Digital 3 ;1/12/2016;1571;8,57%;7,57%;Prioridad 4;
SOLES;281285;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;279954;Bex Digital 18;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;317672;Bex Digital 2 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;409739;Bex Digital 15;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;417582;Bex Digital 14;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;403742;Bex Digital 12;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;302061;Bex Digital 13;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;411957;Bex Digital 19;1/9/2020;201;5,84%;5,00%;Prioridad 4;
